classifier,strategy,n_bins,f1,precision,recall
SVC,quantile,5,0.8042328042328042,0.8351648351648352,0.7755102040816326
DecisionTreeClassifier,quantile,5,0.7093596059113301,0.6857142857142857,0.7346938775510204
LogisticRegression,quantile,10,0.7956989247311828,0.8409090909090909,0.7551020408163265
RandomForestClassifier,quantile,10,0.8603351955307262,0.9506172839506173,0.7857142857142857
KNeighborsClassifier,quantile,10,0.8409090909090909,0.9487179487179487,0.7551020408163265
SVC,quantile,10,0.8148148148148148,0.8461538461538461,0.7857142857142857
DecisionTreeClassifier,quantile,10,0.6699507389162561,0.6476190476190476,0.6938775510204082
LogisticRegression,quantile,15,0.8021390374331551,0.8426966292134831,0.7653061224489796
RandomForestClassifier,quantile,15,0.8603351955307262,0.9506172839506173,0.7857142857142857
KNeighborsClassifier,quantile,15,0.847457627118644,0.9493670886075949,0.7653061224489796
SVC,quantile,15,0.8105263157894737,0.8369565217391305,0.7857142857142857
DecisionTreeClassifier,quantile,15,0.6938775510204082,0.6938775510204082,0.6938775510204082
LogisticRegression,quantile,20,0.7978723404255319,0.8333333333333334,0.7653061224489796
RandomForestClassifier,quantile,20,0.8666666666666667,0.9512195121951219,0.7959183673469388
KNeighborsClassifier,quantile,20,0.8409090909090909,0.9487179487179487,0.7551020408163265
SVC,quantile,20,0.8105263157894737,0.8369565217391305,0.7857142857142857
DecisionTreeClassifier,quantile,20,0.7,0.6862745098039216,0.7142857142857143
LogisticRegression,quantile,30,0.7978723404255319,0.8333333333333334,0.7653061224489796
RandomForestClassifier,quantile,30,0.8651685393258427,0.9625,0.7857142857142857
KNeighborsClassifier,quantile,30,0.8409090909090909,0.9487179487179487,0.7551020408163265
SVC,quantile,30,0.8105263157894737,0.8369565217391305,0.7857142857142857
DecisionTreeClassifier,quantile,30,0.7414634146341463,0.7102803738317757,0.7755102040816326
LogisticRegression,quantile,50,0.8021390374331551,0.8426966292134831,0.7653061224489796
RandomForestClassifier,quantile,50,0.8651685393258427,0.9625,0.7857142857142857
KNeighborsClassifier,quantile,50,0.8409090909090909,0.9487179487179487,0.7551020408163265
SVC,quantile,50,0.8105263157894737,0.8369565217391305,0.7857142857142857
DecisionTreeClassifier,quantile,50,0.7115384615384616,0.6727272727272727,0.7551020408163265
LogisticRegression,kmeans,5,0.7701149425287356,0.881578947368421,0.6836734693877551
RandomForestClassifier,kmeans,5,0.8379888268156425,0.9259259259259259,0.7653061224489796
KNeighborsClassifier,kmeans,5,0.8342857142857143,0.948051948051948,0.7448979591836735
SVC,kmeans,5,0.8253968253968254,0.8571428571428571,0.7959183673469388
DecisionTreeClassifier,kmeans,5,0.7157894736842105,0.7391304347826086,0.6938775510204082
LogisticRegression,kmeans,10,0.7885714285714286,0.8961038961038961,0.7040816326530612
RandomForestClassifier,kmeans,10,0.8342857142857143,0.948051948051948,0.7448979591836735
KNeighborsClassifier,kmeans,10,0.8426966292134831,0.9375,0.7653061224489796
SVC,kmeans,10,0.8342245989304813,0.8764044943820225,0.7959183673469388
DecisionTreeClassifier,kmeans,10,0.7128712871287128,0.6923076923076923,0.7346938775510204
LogisticRegression,kmeans,15,0.7602339181286549,0.8904109589041096,0.6632653061224489
RandomForestClassifier,kmeans,15,0.8651685393258427,0.9625,0.7857142857142857
KNeighborsClassifier,kmeans,15,0.850828729281768,0.927710843373494,0.7857142857142857
SVC,kmeans,15,0.8253968253968254,0.8571428571428571,0.7959183673469388
DecisionTreeClassifier,kmeans,15,0.75,0.7352941176470589,0.7653061224489796
LogisticRegression,kmeans,20,0.7745664739884393,0.8933333333333333,0.6836734693877551
